_sex_f,_charge_o,_charge_m,_charge_f,_jaildays,_race_o2,_race_w,_race_h,_race_b,_sex_m,_bookings,pop2010_18over,pop2010,name,slug,_cost
6,0,17,22,2232,1,6,28,4,33,39,3597,4652,Windsor Square,windsor-square,308066.04
50,3,97,64,1016,2,151,7,4,114,164,13950,17285,Unincorporated Santa Monica Mountains,unincorporated-santa-monica-mountains,187456.96
448,48,1024,891,35311,44,84,1813,22,1515,1963,46240,62381,Montebello,montebello,5308362.14
5,1,8,12,278,1,17,1,2,16,21,2547,3295,Rolling Hills,rolling-hills,43582.96
487,50,971,850,35042,61,521,989,300,1384,1871,60400,78750,San Pedro,san-pedro,5243043.28
23,2,31,29,1735,1,49,11,1,39,62,2720,3553,Leona Valley,leona-valley,249700.34
462,35,1135,930,44143,19,146,1909,26,1638,2100,18787,25904,West Whittier-Los Nietos,west-whittier-los-nietos,6521782.34
75,5,154,130,5233,42,154,77,16,214,289,82852,103340,Burbank,burbank,786068.42
479,34,1332,1536,68363,13,116,2729,44,2423,2902,65022,94396,South Gate,south-gate,9987007.78
167,3,397,265,8277,32,450,155,28,498,665,9071,13194,Castaic,castaic,1310451.06
38,1,121,76,3980,9,20,166,3,160,198,14307,18943,Industry,industry,590810.56
28,0,64,72,3414,11,66,35,24,108,136,28071,35593,Tarzana,tarzana,495862.44
3325,157,6363,6891,403547,202,2591,6471,4147,10086,13411,101857,152443,Palmdale,palmdale,57752231.98
51,4,79,75,2890,10,87,36,25,107,158,53144,63661,Sherman Oaks,sherman-oaks,433599.56
150,9,318,318,17004,100,88,441,16,495,645,2861,3535,Alhambra,alhambra,2459272.92
3682,199,7165,9338,396195,97,360,5862,10383,13020,16702,365939,498465,Westside South Central,westside-south-central,57841703.94
60,0,126,91,2224,65,80,67,5,157,217,463,542,Arcadia,arcadia,364486.76
94,5,277,201,8130,130,95,212,46,389,483,23073,29156,Walnut,walnut,1232219.76
112,2,154,203,5932,28,195,106,30,247,359,53861,66748,Redondo Beach,redondo-beach,901206.44
16,0,48,22,656,2,9,58,1,54,70,1049,1422,Irwindale,irwindale,109445.68
23,0,69,37,1618,5,70,17,14,83,106,10667,15215,Unincorporated Santa Susana Mountains,unincorporated-santa-susana-mountains,248420.36
1787,96,3875,5611,240224,73,148,4506,4855,7795,9582,67912,101456,Compton,compton,34895072.56
250,6,590,408,20972,58,316,569,61,754,1004,39669,53063,Covina,covina,3100485.04
57,1,135,103,3233,16,143,58,22,182,239,35313,44264,Chatsworth,chatsworth,505162.42
4,0,9,11,173,2,12,2,4,16,20,11863,14247,West Los Angeles,west-los-angeles,29360.14
14,0,31,18,180,1,33,11,4,35,49,27469,32540,Brentwood,brentwood,39651.48
284,20,833,701,31878,38,234,502,780,1270,1554,6249,8557,Altadena,altadena,4721827.32
15,2,32,20,169,12,38,2,2,39,54,14270,19380,La Canada Flintridge,la-canada-flintridge,39809.9
1702,37,3862,3114,132421,280,3800,2528,405,5311,7013,135033,184649,Santa Clarita,santa-clarita,19794529.94
113,14,213,387,27705,7,236,227,144,501,614,14457,20762,Northeast Antelope Valley,northeast-antelope-valley,3865860.78
8,0,15,16,838,2,15,10,4,23,31,463,533,Lopez/Kagel Canyons,lopezkagel-canyons,120944.96
19,0,66,38,1180,5,67,22,10,85,104,14227,16324,Hollywood Hills West,hollywood-hills-west,189792.08
506,18,1235,894,37066,169,326,1528,124,1641,2147,77809,103188,West Covina,west-covina,5600106.32
12,0,28,27,680,15,21,16,3,43,55,3144,3931,Ramona,ramona,107779
25,0,50,21,604,5,51,13,2,46,71,18565,24476,Pacific Palisades,pacific-palisades,102884.84
8,1,7,16,940,0,19,4,1,16,24,4264,5769,Ridge Route,ridge-route,132187.28
35,5,74,70,1873,8,45,62,34,114,149,29764,36672,Culver City,culver-city,296062.82
1899,133,3855,3546,164209,487,1560,3241,2246,5635,7534,349458,465275,Long Beach,long-beach,24170866.7
